"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\AttackUIManager.cs", "C#", 322, 11, 60, 393
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\AudioManager.cs", "C#", 42, 0, 12, 54
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\CameraController.cs", "C#", 159, 1, 44, 204
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\ChatManager.cs", "C#", 12, 2, 5, 19
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\ConnectionManager.cs", "C#", 203, 0, 49, 252
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\Constants.cs", "C#", 11, 0, 2, 13
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\CoordinateSystem.cs", "C#", 198, 0, 45, 243
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\CopyTransform.cs", "C#", 23, 0, 6, 29
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\EnableOnPlay.cs", "C#", 12, 0, 2, 14
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\FlameMaker.cs", "C#", 33, 0, 8, 41
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\FormManager.cs", "C#", 29, 0, 8, 37
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\GameNetworking.cs", "C#", 117, 1, 29, 147
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\GameOver.cs", "C#", 83, 3, 31, 117
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\GameOverUIManager.cs", "C#", 12, 2, 5, 19
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\HexBorder.cs", "C#", 63, 8, 23, 94
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\HexGrid.cs", "C#", 227, 1, 54, 282
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\HexRenderer.cs", "C#", 101, 2, 26, 129
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\HistoryTracker.cs", "C#", 28, 0, 9, 37
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\LODMeshGenerator.cs", "C#", 251, 11, 58, 320
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\LockTransform.cs", "C#", 30, 2, 6, 38
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\Matchmaker.cs", "C#", 184, 0, 48, 232
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\MatchmakingShaderUpdater.cs", "C#", 12, 0, 4, 16
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\NameSource.cs", "C#", 14, 0, 4, 18
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\Navigator.cs", "C#", 40, 0, 8, 48
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\NoticeManager.cs", "C#", 53, 0, 12, 65
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\Old\GameManager.cs", "C#", 71, 0, 16, 87
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\Old\Launcher.cs", "C#", 195, 3, 46, 244
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\Old\Scene Navigator.cs", "C#", 10, 0, 2, 12
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\PingSource.cs", "C#", 22, 0, 6, 28
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\PregameUIManager.cs", "C#", 80, 12, 22, 114
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\Selector.cs", "C#", 158, 5, 33, 196
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\Ship.cs", "C#", 185, 4, 42, 231
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\ShipInternals.cs", "C#", 8, 0, 2, 10
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\ShipManager.cs", "C#", 77, 0, 28, 105
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\ShipSegment.cs", "C#", 16, 0, 5, 21
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\StateManager.cs", "C#", 92, 1, 28, 121
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\StatusSource.cs", "C#", 22, 0, 6, 28
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\TeamBase.cs", "C#", 26, 0, 8, 34
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\TeamManager.cs", "C#", 63, 0, 13, 76
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\TurnManager.cs", "C#", 75, 6, 26, 107
"c:\Users\jomit\Desktop\Capstone\Unity\Armadahex\Assets\Jonathan\Scripts\TurnUIManager.cs", "C#", 41, 0, 12, 53
"Total", "-", 3400, 75, 853, 4328
